route_id,service_id,trip_id
002_X4,002_20150831P,002_X4-18:21-002_20150831P
002_X4,002_20150831P,002_X4-18:41-002_20150831P
002_X4,002_20150831P,002_X4-19:01-002_20150831P
002_X4,002_20150831P,002_X4-19:25-002_20150831P
002_X5,002_20150831P,002_X5-20:00-002_20150831P
002_X5,002_20150831S,002_X5-19:00-002_20150831S
002_X5,002_20150831S,002_X5-20:00-002_20150831S
002_X5,002_20150831N,002_X5-19:00-002_20150831N
002_X5,002_20150831N,002_X5-20:00-002_20150831N
002_X6,002_20150831P,002_X6-20:25-002_20150831P
002_X6,002_20150831S,002_X6-20:25-002_20150831S
002_X6,002_20150831N,002_X6-20:25-002_20150831N
002_X7,002_20150831P,002_X7-20:44-002_20150831P
002_X7,002_20150831P,002_X7-21:14-002_20150831P
002_X7,002_20150831S,002_X7-04:44-002_20150831S
002_X7,002_20150831S,002_X7-05:14-002_20150831S
002_X7,002_20150831S,002_X7-05:44-002_20150831S
002_X7,002_20150831S,002_X7-06:14-002_20150831S
002_X7,002_20150831S,002_X7-20:20-002_20150831S
002_X7,002_20150831S,002_X7-20:44-002_20150831S
002_X7,002_20150831S,002_X7-21:14-002_20150831S
002_X7,002_20150831N,002_X7-04:44-002_20150831N
002_X7,002_20150831N,002_X7-05:14-002_20150831N
002_X7,002_20150831N,002_X7-05:44-002_20150831N
002_X7,002_20150831N,002_X7-06:14-002_20150831N
002_X7,002_20150831N,002_X7-06:44-002_20150831N
002_X7,002_20150831N,002_X7-07:14-002_20150831N
002_X7,002_20150831N,002_X7-07:44-002_20150831N
002_X7,002_20150831N,002_X7-08:14-002_20150831N
002_X7,002_20150831N,002_X7-08:44-002_20150831N
002_X7,002_20150831N,002_X7-09:14-002_20150831N
002_X7,002_20150831N,002_X7-20:20-002_20150831N
002_X7,002_20150831N,002_X7-20:44-002_20150831N
002_X7,002_20150831N,002_X7-21:14-002_20150831N
002_X8,002_20150831P,002_X8-21:44-002_20150831P
002_X8,002_20150831P,002_X8-22:14-002_20150831P
002_X8,002_20150831S,002_X8-21:44-002_20150831S
002_X8,002_20150831S,002_X8-22:14-002_20150831S
002_X8,002_20150831N,002_X8-21:44-002_20150831N
